tweet_id,tweet_comment
0,wind mph nne barometer in rising slowly temperature rain today in humidity
1,pausa pro antes de embarcar no trippolisontheroad danipolisviaja pause for URL
2,good morning morning saturday diner vt breakfast nucorpsofcadetsring ring college URL
3,USER_MENTION recordstoredayus toms music trade URL
4,egg in a muffin rocket baby bakery USER_MENTION in wauwatosa wi URL
5,USER_MENTION shouldve gave the neighbor a buzz iv got ice cream and moms baked goodies
6,on the way to ct mamaroneck ny in mamaroneck ny URL
7,were hiring read about our latest job opening here retail sales consultant bryn mawr pa URL retail
8,me montgomery scrap corporation URL
9,bayada home health care home health registered nurse glenburnie md URL job jobs hiring
10,shift supervisor trainee cvs health EMO_NEG oceancity md URL retail job jobs hiring careerarc
11,jamesbond blacktie redcarpet vip gambling youonlylivetwice diamondsareforever URL
12,although i am not endorsing a candidate i thought this was URL
13,i think spring finally has arrived milwaukee lakefront in milwaukee wi URL
14,want to work in burlington ma view our latest opening URL healthcare job jobs hiring careerarc
15,want to work in charlotte nc view our latest opening URL businessmgmt insurance job jobs hiring
16,youll love this USER_MENTION URL
17,engineering job alert prod engr software zf trw livonia mi URL veterans jobs hiring
18,can you recommend anyone for this job clinical applications coordinator ancillary URL atlanta ga it hiring
19,im at USER_MENTION in long beach ca URL
20,think about what can happen in a month think about what can happen in a year just URL
21,vacation here i come official jetblue terminal laguardia URL
22,foro sol mexico d.f URL
23,can you recommend anyone for this hospitality job URL restaurantjobs fairfax va hiring careerarc
24,were hiring click to apply manager traineeretail sales URL retail winstonsalem nc job jobs careerarc
25,im at home URL
26,see our latest savannah ga job and click to apply structural mechanic ii URL manufacturing hiring
27,want to work at macys beauty were hiring in vorhees nj click for details URL sales job jobs careerarc
28,can you recommend anyone for this job registered nurse rn ms contract URL rn nursing URL
29,is jupiter donuts north palm URL
30,in tomsriver nj hourly home care nurses needed registered nurse rn licensed at bayada home health care URL
31,want to work at aerotek were hiring in duluth ga click for details URL customerservice job jobs
32,it is a beautiful saturday morning get out enjoy happysaturday clearwater beach URL
33,remember that time we got lucas some dolewhip and he spilled the whole thing on his leg on his URL
34,im at universidad intercontinental USER_MENTION in df URL
35,see our latest weststpaul mn job and click to apply machine operator URL manufacturing URL
36,just posted a photo memories bar grill URL
37,lets get this saturday started starbucks in crown point in URL
38,i just began a doing circuit training workout using endomondo peptalk me now URL
39,having a slight craving for rock climbing and waterfall jumps stayswoopinfolks linville URL
40,ran the b.a.a this morning with chris sanford and finished with the exact same time as last URL
41,im proud of myself my feet not so much im going to have to URL
42,can you recommend anyone for this it job URL cleveland oh hiring URL
43,if youre a hospitality professional in marketplace drive belair md check out this job URL veterans hiring
44,healthcare job alert physical therapist pt accountable healthcare staffing murrellsinlet sc URL jobs
